Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;1. 1. Østerbro;I;Liberal Alliance;Line Østergaard Olsen;7
1. Østerbro;1. 1. Østerbro;I;Liberal Alliance;Laura Emilie Fabricius-Lauritzen;7
1. Østerbro;1. 1. Østerbro;I;Liberal Alliance;Torben Guldbæk;0
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Partiliste;460
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Jakob Engel-Schmidt;169
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Nanna W. Gotfredsen;22
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Ellen Emilie;16
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Mads Sebbelov;23
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Ali Qais;7
1. Østerbro;1. 1. Østerbro;M;Moderaterne;Lisbeth Dam Larsen;2
1. Østerbro;1. 1. Østerbro;O;Dansk Folkeparti;Partiliste;212
1. Østerbro;1. 1. Østerbro;O;Dansk Folkeparti;Merete Dea Larsen;12
1. Østerbro;1. 1. Østerbro;O;Dansk Folkeparti;Allan Feldt;16
1. Østerbro;1. 1. Østerbro;O;Dansk Folkeparti;Paw Karslund;3
1. Østerbro;1. 1. Østerbro;O;Dansk Folkeparti;Denise Rostgaard;4
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Partiliste;143
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Linea Søgaard-Lidell;49
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Zeynep Bardakci;2
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Claus Buch;5
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Anders Fausbøll;5
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Jan E. Jørgensen;50
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Natascha Remvig;9
1. Østerbro;1. 1. Østerbro;V;Venstre, Danmarks Liberale Parti;Malene Sandfeld;1
1. Østerbro;1. 1. Østerbro;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;33
1. Østerbro;1. 1. Østerbro;Æ;Danmarksdemokraterne - Inger Støjberg;Martin Sibast;1
1. Østerbro;1. 1. Østerbro;Æ;Danmarksdemokraterne - Inger Støjberg;Benny Bindslev;1
1. Østerbro;1. 1. Østerbro;Æ;Danmarksdemokraterne - Inger Støjberg;Eva Bechmann;0
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Partiliste;312
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;David Rønne;16
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Pelle Dragsted;434
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Rosa Lund;78
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Leila Stockmarr;23
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Pil Christensen;42
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Mathilde Vinther;17
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Charlotte Lund;11
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Pil Yildiz;2
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Kim Larsen;1
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Mette Bloch Hansen;3
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Maria Sofie Petersen;4
1. Østerbro;1. 1. Østerbro;Ø;Enhedslisten - De Rød-Grønne;Reinout Bosch;0
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Partiliste;141
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Franciska Rosenkilde;170
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Qasam Nazir Ahmad;8
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Catharina Næsby Malkki;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Jiesper Tristan Pedersen;12
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Jan Kristoffersen;5
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Roger Courage Matthisen;6
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Vibeke Frost;2
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Anders Sørensen;21
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Mette Bram;2
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Peter Martin Jakobsen;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Nikolai Eskild Jensen;1
1. Østerbro;1. 1. Østerbro;Å;Alternativet;Mikkel Bahl;0
