Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Rønne;7. Klemensker;C;Det Konservative Folkeparti;Kristoffer Kromand;20
1. Rønne;7. Klemensker;C;Det Konservative Folkeparti;Peter Svarre Fridolf;0
1. Rønne;7. Klemensker;F;SF - Socialistisk Folkeparti;Partiliste;67
1. Rønne;7. Klemensker;F;SF - Socialistisk Folkeparti;Sofie Christiansen;13
1. Rønne;7. Klemensker;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;45
1. Rønne;7. Klemensker;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;34
1. Rønne;7. Klemensker;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;1
1. Rønne;7. Klemensker;I;Liberal Alliance;Partiliste;77
1. Rønne;7. Klemensker;I;Liberal Alliance;Eik Dahl Bidstrup;3
1. Rønne;7. Klemensker;M;Moderaterne;Partiliste;42
1. Rønne;7. Klemensker;M;Moderaterne;Kirstine van Sabben;38
1. Rønne;7. Klemensker;M;Moderaterne;Lasse Oszadlik;3
1. Rønne;7. Klemensker;O;Dansk Folkeparti;Partiliste;155
1. Rønne;7. Klemensker;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;39
1. Rønne;7. Klemensker;V;Venstre, Danmarks Liberale Parti;Partiliste;26
1. Rønne;7. Klemensker;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;226
1. Rønne;7. Klemensker;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;41
1. Rønne;7. Klemensker;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
1. Rønne;7. Klemensker;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;83
1. Rønne;7. Klemensker;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;38
1. Rønne;7. Klemensker;Ø;Enhedslisten - De Rød-Grønne;Partiliste;34
1. Rønne;7. Klemensker;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;11
1. Rønne;7. Klemensker;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;12
1. Rønne;7. Klemensker;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;2
1. Rønne;7. Klemensker;Å;Alternativet;Partiliste;12
1. Rønne;7. Klemensker;Å;Alternativet;Sofie Valbjørn;7
1. Rønne;7. Klemensker;Å;Alternativet;Kim Hjerrild;1
1. Rønne;8. Rønne;A;Socialdemokratiet;Partiliste;1175
1. Rønne;8. Rønne;A;Socialdemokratiet;Lea Wermelin;1634
1. Rønne;8. Rønne;A;Socialdemokratiet;Kasper Flygare;108
1. Rønne;8. Rønne;A;Socialdemokratiet;Christian Faurholdt Jeppesen;101
1. Rønne;8. Rønne;B;Radikale Venstre;Partiliste;109
1. Rønne;8. Rønne;B;Radikale Venstre;Simon Bech Munch-Petersen;11
1. Rønne;8. Rønne;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;18
1. Rønne;8. Rønne;C;Det Konservative Folkeparti;Partiliste;201
1. Rønne;8. Rønne;C;Det Konservative Folkeparti;Kristoffer Kromand;103
1. Rønne;8. Rønne;C;Det Konservative Folkeparti;Peter Svarre Fridolf;39
1. Rønne;8. Rønne;F;SF - Socialistisk Folkeparti;Partiliste;600
1. Rønne;8. Rønne;F;SF - Socialistisk Folkeparti;Sofie Christiansen;120
1. Rønne;8. Rønne;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;381
1. Rønne;8. Rønne;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;124
1. Rønne;8. Rønne;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;15
1. Rønne;8. Rønne;I;Liberal Alliance;Partiliste;371
1. Rønne;8. Rønne;I;Liberal Alliance;Eik Dahl Bidstrup;60
1. Rønne;8. Rønne;M;Moderaterne;Partiliste;277
1. Rønne;8. Rønne;M;Moderaterne;Kirstine van Sabben;197
1. Rønne;8. Rønne;M;Moderaterne;Lasse Oszadlik;9
1. Rønne;8. Rønne;O;Dansk Folkeparti;Partiliste;702
1. Rønne;8. Rønne;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;182
1. Rønne;8. Rønne;V;Venstre, Danmarks Liberale Parti;Partiliste;192
1. Rønne;8. Rønne;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;1006
1. Rønne;8. Rønne;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;177
1. Rønne;8. Rønne;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;15
1. Rønne;8. Rønne;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;202
1. Rønne;8. Rønne;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;48
1. Rønne;8. Rønne;Ø;Enhedslisten - De Rød-Grønne;Partiliste;210
1. Rønne;8. Rønne;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;86
1. Rønne;8. Rønne;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;53
1. Rønne;8. Rønne;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;53
1. Rønne;8. Rønne;Å;Alternativet;Partiliste;86
1. Rønne;8. Rønne;Å;Alternativet;Sofie Valbjørn;14
1. Rønne;8. Rønne;Å;Alternativet;Kim Hjerrild;13
1. Rønne;9. Hasle;A;Socialdemokratiet;Partiliste;232
1. Rønne;9. Hasle;A;Socialdemokratiet;Lea Wermelin;307
1. Rønne;9. Hasle;A;Socialdemokratiet;Kasper Flygare;15
1. Rønne;9. Hasle;A;Socialdemokratiet;Christian Faurholdt Jeppesen;11
1. Rønne;9. Hasle;B;Radikale Venstre;Partiliste;22
1. Rønne;9. Hasle;B;Radikale Venstre;Simon Bech Munch-Petersen;1
