Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Sønderborg;1. Nordborg;I;Liberal Alliance;Christian Fini Mosegaard;1
1. Sønderborg;1. Nordborg;I;Liberal Alliance;Troels Simonsen;2
1. Sønderborg;1. Nordborg;I;Liberal Alliance;Frederik Klakk;33
1. Sønderborg;1. Nordborg;M;Moderaterne;Partiliste;136
1. Sønderborg;1. Nordborg;M;Moderaterne;Henrik Frandsen;31
1. Sønderborg;1. Nordborg;M;Moderaterne;Frida Bruun;8
1. Sønderborg;1. Nordborg;M;Moderaterne;Gitte Bjerremand Andersen;3
1. Sønderborg;1. Nordborg;M;Moderaterne;Lone Hansen;4
1. Sønderborg;1. Nordborg;M;Moderaterne;Morten Hell;4
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Partiliste;265
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Peter Kofod;169
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Rune Bønnelykke;5
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Sune Nørgaard Jakobsen;3
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Per Knudsen;1
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Kim Andkjær Doberck;1
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Allan Svendsen;4
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Mads-Magnus Damm;4
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Tobias Brus Mikkelsen;5
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Rune Højer;3
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Jim Zakaria;0
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Josephine Alstrup Kofod;6
1. Sønderborg;1. Nordborg;O;Dansk Folkeparti;Christian Kirk;4
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Partiliste;99
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Phillip Kjær Luscombe;73
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Thomas Andresen;18
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Jesper Bierbaum;4
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Niels Henning Bladt;3
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Tilde Holch Duedahl;5
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Preben Friis-Hauge;0
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Lasse Hildingberg;0
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Tobias Jørgensen;3
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Stephanie Lose;235
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Anni Matthiesen;9
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Christoffer Aagaard Melson;0
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Troels Overgaard;4
1. Sønderborg;1. Nordborg;V;Venstre, Danmarks Liberale Parti;Klaus Sandfeld;1
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;242
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Thomas Majgaard Byrsing;8
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Patrick Bryhl;19
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Karina Adsbøl;16
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Ulrik Knudsen;12
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Jakob Venø Heiwald;0
1. Sønderborg;1. Nordborg;Æ;Danmarksdemokraterne - Inger Støjberg;Kenneth Fredslund Petersen;3
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Partiliste;50
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Johanna-Maria Precht;6
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Rasmus Vestergaard Madsen;2
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Selma Bolø;4
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Mathias D. Christiansen;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Lasse Harder Schousboe;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Lilje Holm;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Sarah Nørris;1
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Helene Hellesøe Appel;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Benny Dall;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Holly Marie Turner;0
1. Sønderborg;1. Nordborg;Ø;Enhedslisten - De Rød-Grønne;Lars Mogensen;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Partiliste;16
1. Sønderborg;1. Nordborg;Å;Alternativet;Coco Mette Cecilie Kjærgaard;4
1. Sønderborg;1. Nordborg;Å;Alternativet;Mikael Hertig;3
1. Sønderborg;1. Nordborg;Å;Alternativet;Mikael Winther;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Astrid Fogh;2
1. Sønderborg;1. Nordborg;Å;Alternativet;Bo Nielsen;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Carsten Sohl;1
1. Sønderborg;1. Nordborg;Å;Alternativet;Edvard Korsbæk;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Bodil Nielsen;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Hans Biering Fonsbøl;0
1. Sønderborg;1. Nordborg;Å;Alternativet;Ane Line Søndergaard;1
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Partiliste;189
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Benny Engelbrecht;243
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Tommi Christensen;0
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Kim Eskesen;0
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Theis Kylling Hommeltoft;1
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Anders Kronborg;2
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Bjørn Laursen;0
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Christian Rabjerg Madsen;6
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Anne Catherine Hoxcer Nielsen;3
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Lars Rømer Olsen;0
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Jesper Petersen;10
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Maria Radoor;3
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Kris Jensen Skriver;1
1. Sønderborg;2. Havnbjerg;A;Socialdemokratiet;Birgitte Vind;0
1. Sønderborg;2. Havnbjerg;B;Radikale Venstre;Partiliste;13
