Alpha,Noise,Avg Relative Agreement (Top Match)
0.25,0.0,0.9234761379310344
0.25,0.2,0.8921288965517242
0.25,0.3,0.877139572413793
0.25,0.4,0.8624880413793103
0.5,0.0,0.9179189425287356
0.5,0.2,0.8876162298850575
0.5,0.3,0.8731136091954024
0.5,0.4,0.8589473793103448
0.75,0.0,0.9157020886699507
0.75,0.2,0.886287645320197
0.75,0.3,0.8721937635467981
0.75,0.4,0.8584375467980295
1.0,0.0,0.9148365517241379
1.0,0.2,0.886149896551724
1.0,0.3,0.8724036551724137
1.0,0.4,0.8589803103448276
1.5,0.0,0.9157310068965517
1.5,0.2,0.8881527310344828
1.5,0.3,0.8749580551724138
1.5,0.4,0.8620857931034484
2.0,0.0,0.9169059770114942
2.0,0.2,0.8901535172413793
2.0,0.3,0.87736
2.0,0.4,0.864920183908046
3.0,0.0,0.9206557413793104
3.0,0.2,0.8950841896551723
3.0,0.3,0.8828796206896551
3.0,0.4,0.8710621206896552
